language_id,language,count
ky,??????,1
af,Afrikaans,7
id,Bahasa indonesia,2
bm,Bamanankan,1
bs,Bosanski,2
ca,Català,1
cy,Cymraeg,2
da,Dansk,14
de,Deutsch,262
et,Eesti,2
en,English,4485
es,Español,351
eo,Esperanto,2
fr,Français,437
ga,Gaeilge,6
gl,Galego,1
hr,Hrvatski,4
it,Italiano,188
sw,Kiswahili,8
la,Latin,52
hu,Magyar,42
nl,Nederlands,10
xx,No Language,2
no,Norsk,13
pl,Polski,53
pt,Português,68
ru,Pусский,185
ro,Română,13
sk,Slovenčina,2
sl,Slovenščina,1
so,Somali,3
sr,Srpski,6
vi,Tiếng Việt,17
tr,Türkçe,18
wo,Wolof,1
zu,isiZulu,4
sq,shqip,4
fi,suomi,3
sv,svenska,22
is,Íslenska,5
cs,Český,38
el,ελληνικά,20
uk,Український,9
bg,български език,3
kk,қазақ,2
he,עִבְרִית,33
ur,اردو,15
ar,العربية,67
fa,فارسی,12
ps,پښتو,2
hi,हिन्दी,48
bn,বাংলা,1
pa,ਪੰਜਾਬੀ,4
ta,தமிழ்,4
te,తెలుగు,1
th,ภาษาไทย,40
ka,ქართული,1
cn,广州话 / 廣州話,48
ja,日本語,97
zh,普通话,107
ko,한국어/조선말,31
